NUMBER_OF_SALES;TOTAL_REVENUE;NUMBER_OF_UNIT_SOLD;PURCHASE_DATE;MONTH_ID;DAY_OF_WEEK;TIME_BUCKET;SPENDER_BUCKET;STORE_LOCATION;PRODUCT_CATEGORY;PRODUCT_DETAIL;PRODUCT_TYPE
2;13;4;2023/01/20;202301;Fri;AFTERNOON;MEDUIM;Astoria;Bakery;Cranberry Scone;Scone
2;30;12;2023/01/20;202301;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Tea;English Breakfast Rg;Brewed Black tea
2;12;4;2023/01/20;202301;Fri;AFTERNOON;MEDUIM;Hell's Kitchen;Coffee;Espresso shot;Barista Espresso
1;1,6;2;2023/01/20;202301;Fri;AFTERNOON;LOW;Hell's Kitchen;Flavours;Chocolate syrup;Regular syrup
1;7,5;2;2023/01/20;202301;Fri;AFTERNOON;LOW;Hell's Kitchen;Bakery;Almond Croissant;Pastry
1;6,2;2;2023/01/20;202301;Fri;AFTERNOON;LOW;Hell's Kitchen;Tea;Spicy Eye Opener Chai Lg;Brewed Chai tea
2;16;8;2023/01/20;202301;Fri;AFTERNOON;MEDUIM;Hell's Kitchen;Coffee;Columbian Medium Roast Sm;Gourmet brewed coffee
1;7,5;2;2023/01/20;202301;Fri;AFTERNOON;LOW;Astoria;Coffee;Jamaican Coffee River Lg;Premium brewed coffee
1;8,8;4;2023/01/20;202301;Fri;AFTERNOON;LOW;Hell's Kitchen;Coffee;Ethiopia Sm;Gourmet brewed coffee
2;10;4;2023/01/20;202301;Fri;AFTERNOON;LOW;Astoria;Coffee;Columbian Medium Roast Rg;Gourmet brewed coffee
1;4;2;2023/01/20;202301;Fri;AFTERNOON;LOW;Astoria;Coffee;Our Old Time Diner Blend Sm;Drip coffee
1;6;2;2023/01/20;202301;Fri;AFTERNOON;LOW;Astoria;Tea;Earl Grey Lg;Brewed Black tea
1;6,5;2;2023/01/20;202301;Fri;AFTERNOON;LOW;Astoria;Bakery;Ginger Scone;Scone
1;6;2;2023/01/20;202301;Fri;AFTERNOON;LOW;Astoria;Tea;Peppermint Lg;Brewed herbal tea
1;17,9;2;2023/01/20;202301;Fri;AFTERNOON;MEDUIM;Astoria;Loose Tea;Peppermint;Herbal tea
3;24;8;2023/01/20;202301;Fri;AFTERNOON;MEDUIM;Hell's Kitchen;Coffee;Brazilian Rg;Organic brewed coffee
1;10;4;2023/01/20;202301;Fri;AFTERNOON;LOW;Hell's Kitchen;Tea;English Breakfast Rg;Brewed Black tea
1;4,4;2;2023/01/20;202301;Fri;AFTERNOON;LOW;Hell's Kitchen;Coffee;Brazilian Sm;Organic brewed coffee
2;15;6;2023/01/20;202301;Fri;AFTERNOON;MEDUIM;Hell's Kitchen;Coffee;Our Old Time Diner Blend Rg;Drip coffee
1;6,5;2;2023/01/20;202301;Fri;AFTERNOON;LOW;Lower Manhattan;Bakery;Cranberry Scone;Scone
1;19;4;2023/01/20;202301;Fri;AFTERNOON;MEDUIM;Hell's Kitchen;Drinking Chocolate;Sustainably Grown Organic Lg;Hot chocolate
1;9;2;2023/01/20;202301;Fri;AFTERNOON;LOW;Hell's Kitchen;Bakery;Scottish Cream Scone ;Scone
1;12;4;2023/01/20;202301;Fri;AFTERNOON;MEDUIM;Hell's Kitchen;Tea;Traditional Blend Chai Lg;Brewed Chai tea
1;6;2;2023/01/20;202301;Fri;AFTERNOON;LOW;Hell's Kitchen;Bakery;Oatmeal Scone;Scone
1;7,5;2;2023/01/20;202301;Fri;AFTERNOON;LOW;Lower Manhattan;Coffee;Cappuccino;Barista Espresso
1;40,9;2;2023/01/20;202301;Fri;AFTERNOON;MEDUIM;Hell's Kitchen;Coffee beans;Primo Espresso Roast;Espresso Beans
1;6;2;2023/01/20;202301;Fri;AFTERNOON;LOW;Astoria;Tea;Traditional Blend Chai Lg;Brewed Chai tea
1;5;2;2023/01/20;202301;Fri;AFTERNOON;LOW;Hell's Kitchen;Tea;Earl Grey Rg;Brewed Black tea
1;9;2;2023/01/20;202301;Fri;AFTERNOON;LOW;Hell's Kitchen;Drinking Chocolate;Dark chocolate Lg;Hot chocolate
1;90;2;2023/01/20;202301;Fri;AFTERNOON;HIGH;Hell's Kitchen;Coffee beans;Civet Cat;Premium Beans
1;14,7;6;2023/01/20;202301;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Coffee;Jamaican Coffee River Sm;Premium brewed coffee
1;1,6;2;2023/01/20;202301;Fri;AFTERNOON;LOW;Lower Manhattan;Flavours;Carmel syrup;Regular syrup
2;12;4;2023/01/20;202301;Fri;AFTERNOON;MEDUIM;Astoria;Bakery;Oatmeal Scone;Scone
1;12;4;2023/01/20;202301;Fri;AFTERNOON;MEDUIM;Lower Manhattan;Coffee;Ethiopia Rg;Gourmet brewed coffee
1;7;2;2023/01/20;202301;Fri;AFTERNOON;LOW;Lower Manhattan;Bakery;Croissant;Pastry
2;10;4;2023/01/20;202301;Fri;EVENING;LOW;Astoria;Tea;Morning Sunrise Chai Rg;Brewed Chai tea
2;10;4;2023/01/20;202301;Fri;EVENING;LOW;Lower Manhattan;Tea;Serenity Green Tea Rg;Brewed Green tea
1;6;2;2023/01/20;202301;Fri;EVENING;LOW;Hell's Kitchen;Tea;English Breakfast Lg;Brewed Black tea
1;12;4;2023/01/20;202301;Fri;EVENING;MEDUIM;Hell's Kitchen;Coffee;Columbian Medium Roast Lg;Gourmet brewed coffee
1;7;2;2023/01/20;202301;Fri;EVENING;LOW;Astoria;Coffee;Brazilian Lg;Organic brewed coffee
2;15;4;2023/01/20;202301;Fri;EVENING;MEDUIM;Astoria;Bakery;Almond Croissant;Pastry
2;24;8;2023/01/20;202301;Fri;EVENING;MEDUIM;Lower Manhattan;Coffee;Columbian Medium Roast Lg;Gourmet brewed coffee
2;10;4;2023/01/20;202301;Fri;EVENING;LOW;Astoria;Tea;English Breakfast Rg;Brewed Black tea
1;6;2;2023/01/20;202301;Fri;EVENING;LOW;Astoria;Coffee;Ethiopia Rg;Gourmet brewed coffee
1;5;2;2023/01/20;202301;Fri;EVENING;LOW;Astoria;Tea;Traditional Blend Chai Rg;Brewed Chai tea
1;7,5;2;2023/01/20;202301;Fri;EVENING;LOW;Astoria;Bakery;Jumbo Savory Scone;Scone
1;24;6;2023/01/20;202301;Fri;EVENING;MEDUIM;Lower Manhattan;Tea;Morning Sunrise Chai Lg;Brewed Chai tea
1;6;2;2023/01/20;202301;Fri;EVENING;LOW;Astoria;Tea;Earl Grey Lg;Brewed Black tea
2;12;4;2023/01/20;202301;Fri;EVENING;MEDUIM;Hell's Kitchen;Coffee;Ethiopia Rg;Gourmet brewed coffee
1;8,8;4;2023/01/20;202301;Fri;EVENING;LOW;Lower Manhattan;Coffee;Brazilian Sm;Organic brewed coffee
1;8,8;4;2023/01/20;202301;Fri;EVENING;LOW;Lower Manhattan;Coffee;Ethiopia Sm;Gourmet brewed coffee
1;7,5;2;2023/01/20;202301;Fri;EVENING;LOW;Hell's Kitchen;Bakery;Jumbo Savory Scone;Scone
1;6,5;2;2023/01/20;202301;Fri;EVENING;LOW;Astoria;Bakery;Cranberry Scone;Scone
1;8,5;2;2023/01/20;202301;Fri;EVENING;LOW;Astoria;Coffee;Cappuccino Lg;Barista Espresso
1;3,2;4;2023/01/20;202301;Fri;EVENING;LOW;Astoria;Flavours;Hazelnut syrup;Regular syrup
3;42,5;10;2023/01/20;202301;Fri;EVENING;MEDUIM;Hell's Kitchen;Coffee;Latte Rg;Barista Espresso
3;27;6;2023/01/20;202301;Fri;EVENING;MEDUIM;Astoria;Bakery;Scottish Cream Scone ;Scone
1;45;2;2023/01/20;202301;Fri;EVENING;MEDUIM;Astoria;Coffee beans;Organic Decaf Blend;Organic Beans
1;10;4;2023/01/20;202301;Fri;EVENING;LOW;Hell's Kitchen;Tea;Peppermint Rg;Brewed herbal tea
1;7;2;2023/01/20;202301;Fri;EVENING;LOW;Hell's Kitchen;Bakery;Croissant;Pastry
4;20;8;2023/01/20;202301;Fri;EVENING;MEDUIM;Astoria;Coffee;Columbian Medium Roast Rg;Gourmet brewed coffee
2;180;4;2023/01/20;202301;Fri;EVENING;HIGH;Astoria;Coffee beans;Civet Cat;Premium Beans
1;5;2;2023/01/20;202301;Fri;EVENING;LOW;Hell's Kitchen;Tea;Serenity Green Tea Rg;Brewed Green tea
1;4,9;2;2023/01/20;202301;Fri;EVENING;LOW;Lower Manhattan;Coffee;Jamaican Coffee River Sm;Premium brewed coffee
1;6,5;2;2023/01/20;202301;Fri;EVENING;LOW;Lower Manhattan;Bakery;Hazelnut Biscotti;Biscotti
1;4;2;2023/01/20;202301;Fri;EVENING;LOW;Astoria;Coffee;Columbian Medium Roast Sm;Gourmet brewed coffee
3;36;12;2023/01/20;202301;Fri;EVENING;MEDUIM;Hell's Kitchen;Coffee;Brazilian Rg;Organic brewed coffee
1;12;6;2023/01/20;202301;Fri;EVENING;MEDUIM;Lower Manhattan;Coffee;Our Old Time Diner Blend Sm;Drip coffee
1;5;2;2023/01/20;202301;Fri;EVENING;LOW;Astoria;Tea;Earl Grey Rg;Brewed Black tea
2;30;10;2023/01/20;202301;Fri;EVENING;MEDUIM;Lower Manhattan;Coffee;Our Old Time Diner Blend Lg;Drip coffee
2;14;4;2023/01/20;202301;Fri;EVENING;MEDUIM;Lower Manhattan;Bakery;Croissant;Pastry
1;7,5;2;2023/01/20;202301;Fri;EVENING;LOW;Lower Manhattan;Bakery;Chocolate Croissant;Pastry
2;21;6;2023/01/20;202301;Fri;EVENING;MEDUIM;Hell's Kitchen;Drinking Chocolate;Dark chocolate Rg;Hot chocolate
1;12;4;2023/01/20;202301;Fri;EVENING;MEDUIM;Lower Manhattan;Tea;Earl Grey Lg;Brewed Black tea
2;12;4;2023/01/20;202301;Fri;EVENING;MEDUIM;Astoria;Coffee;Espresso shot;Barista Espresso
1;6;2;2023/01/20;202301;Fri;EVENING;LOW;Astoria;Bakery;Oatmeal Scone;Scone
2;8;4;2023/01/20;202301;Fri;EVENING;LOW;Hell's Kitchen;Coffee;Columbian Medium Roast Sm;Gourmet brewed coffee
2;18;6;2023/01/20;202301;Fri;EVENING;MEDUIM;Lower Manhattan;Tea;Serenity Green Tea Lg;Brewed Green tea
2;20;8;2023/01/20;202301;Fri;EVENING;MEDUIM;Hell's Kitchen;Tea;Traditional Blend Chai Rg;Brewed Chai tea
1;5;2;2023/01/20;202301;Fri;EVENING;LOW;Lower Manhattan;Coffee;Columbian Medium Roast Rg;Gourmet brewed coffee
1;9;2;2023/01/20;202301;Fri;EVENING;LOW;Astoria;Drinking Chocolate;Dark chocolate Lg;Hot chocolate
3;19,5;6;2023/01/20;202301;Fri;EVENING;MEDUIM;Astoria;Bakery;Hazelnut Biscotti;Biscotti
2;10;4;2023/01/20;202301;Fri;EVENING;LOW;Astoria;Tea;Peppermint Rg;Brewed herbal tea
2;14;4;2023/01/20;202301;Fri;EVENING;MEDUIM;Astoria;Bakery;Croissant;Pastry
1;6,5;2;2023/01/20;202301;Fri;EVENING;LOW;Astoria;Bakery;Ginger Scone;Scone
1;7;2;2023/01/20;202301;Fri;EVENING;LOW;Astoria;Bakery;Ginger Biscotti;Biscotti
1;6;2;2023/01/20;202301;Fri;EVENING;LOW;Astoria;Coffee;Columbian Medium Roast Lg;Gourmet brewed coffee
1;5;2;2023/01/20;202301;Fri;EVENING;LOW;Astoria;Coffee;Our Old Time Diner Blend Rg;Drip coffee
2;12,4;4;2023/01/20;202301;Fri;EVENING;MEDUIM;Astoria;Tea;Spicy Eye Opener Chai Lg;Brewed Chai tea
1;19;4;2023/01/20;202301;Fri;EVENING;MEDUIM;Hell's Kitchen;Drinking Chocolate;Sustainably Grown Organic Lg;Hot chocolate
2;15;4;2023/01/20;202301;Fri;EVENING;MEDUIM;Astoria;Coffee;Jamaican Coffee River Lg;Premium brewed coffee
1;26,66;2;2023/01/20;202301;Fri;EVENING;MEDUIM;Astoria;Packaged Chocolate;Chili Mayan;Drinking Chocolate
1;12;4;2023/01/20;202301;Fri;EVENING;MEDUIM;Hell's Kitchen;Tea;Traditional Blend Chai Lg;Brewed Chai tea
1;8;2;2023/01/20;202301;Fri;EVENING;LOW;Hell's Kitchen;Tea;Morning Sunrise Chai Lg;Brewed Chai tea
1;7;2;2023/01/20;202301;Fri;EVENING;LOW;Hell's Kitchen;Bakery;Ginger Biscotti;Biscotti
1;12;4;2023/01/20;202301;Fri;EVENING;MEDUIM;Hell's Kitchen;Coffee;Espresso shot;Barista Espresso
2;4,8;6;2023/01/20;202301;Fri;EVENING;LOW;Hell's Kitchen;Flavours;Carmel syrup;Regular syrup
1;1,6;2;2023/01/20;202301;Fri;EVENING;LOW;Hell's Kitchen;Flavours;Chocolate syrup;Regular syrup
1;6;2;2023/01/20;202301;Fri;EVENING;LOW;Hell's Kitchen;Tea;Peppermint Lg;Brewed herbal tea
1;45;2;2023/01/20;202301;Fri;EVENING;MEDUIM;Hell's Kitchen;Coffee beans;Organic Decaf Blend;Organic Beans
3;36;12;2023/01/21;202301;Sat;MORNING;MEDUIM;Lower Manhattan;Coffee;Our Old Time Diner Blend Lg;Drip coffee
2;18;6;2023/01/21;202301;Sat;MORNING;MEDUIM;Lower Manhattan;Coffee;Espresso shot;Barista Espresso
4;11,2;14;2023/01/21;202301;Sat;MORNING;MEDUIM;Lower Manhattan;Flavours;Chocolate syrup;Regular syrup
2;10;4;2023/01/21;202301;Sat;MORNING;LOW;Lower Manhattan;Coffee;Our Old Time Diner Blend Rg;Drip coffee
5;68;16;2023/01/21;202301;Sat;MORNING;HIGH;Lower Manhattan;Coffee;Cappuccino Lg;Barista Espresso
5;40,7;14;2023/01/21;202301;Sat;MORNING;MEDUIM;Lower Manhattan;Bakery;Ginger Scone;Scone
1;36;2;2023/01/21;202301;Sat;MORNING;MEDUIM;Lower Manhattan;Coffee beans;Brazilian - Organic;Organic Beans
2;12;4;2023/01/21;202301;Sat;MORNING;MEDUIM;Lower Manhattan;Bakery;Oatmeal Scone;Scone
4;40;16;2023/01/21;202301;Sat;MORNING;MEDUIM;Lower Manhattan;Tea;Serenity Green Tea Rg;Brewed Green tea
2;20,4;8;2023/01/21;202301;Sat;MORNING;MEDUIM;Lower Manhattan;Tea;Spicy Eye Opener Chai Rg;Brewed Chai tea
4;64;16;2023/01/21;202301;Sat;MORNING;HIGH;Lower Manhattan;Tea;Morning Sunrise Chai Lg;Brewed Chai tea
2;15;4;2023/01/21;202301;Sat;MORNING;MEDUIM;Lower Manhattan;Bakery;Almond Croissant;Pastry
1;6,2;2;2023/01/21;202301;Sat;MORNING;LOW;Lower Manhattan;Tea;Spicy Eye Opener Chai Lg;Brewed Chai tea
1;18;6;2023/01/21;202301;Sat;MORNING;MEDUIM;Lower Manhattan;Coffee;Ethiopia Rg;Gourmet brewed coffee
1;18,5;2;2023/01/21;202301;Sat;MORNING;MEDUIM;Lower Manhattan;Loose Tea;Serenity Green Tea;Green tea
4;46,8;18;2023/01/21;202301;Sat;MORNING;MEDUIM;Lower Manhattan;Coffee;Ouro Brasileiro shot;Barista Espresso
4;6,4;8;2023/01/21;202301;Sat;MORNING;LOW;Lower Manhattan;Flavours;Carmel syrup;Regular syrup
4;48;16;2023/01/21;202301;Sat;MORNING;MEDUIM;Lower Manhattan;Tea;Serenity Green Tea Lg;Brewed Green tea
5;37,5;10;2023/01/21;202301;Sat;MORNING;MEDUIM;Lower Manhattan;Bakery;Jumbo Savory Scone;Scone
4;36;12;2023/01/21;202301;Sat;MORNING;MEDUIM;Lower Manhattan;Coffee;Brazilian Rg;Organic brewed coffee
5;67,5;18;2023/01/21;202301;Sat;MORNING;HIGH;Lower Manhattan;Coffee;Latte;Barista Espresso
4;11,2;14;2023/01/21;202301;Sat;MORNING;MEDUIM;Lower Manhattan;Flavours;Sugar Free Vanilla syrup;Sugar free syrup
3;49;14;2023/01/21;202301;Sat;MORNING;MEDUIM;Lower Manhattan;Drinking Chocolate;Dark chocolate Rg;Hot chocolate
2;28,5;6;2023/01/21;202301;Sat;MORNING;MEDUIM;Lower Manhattan;Drinking Chocolate;Sustainably Grown Organic Lg;Hot chocolate
5;42;14;2023/01/21;202301;Sat;MORNING;MEDUIM;Hell's Kitchen;Coffee;Columbian Medium Roast Lg;Gourmet brewed coffee
3;26,4;12;2023/01/21;202301;Sat;MORNING;MEDUIM;Lower Manhattan;Coffee;Ethiopia Sm;Gourmet brewed coffee
1;14;4;2023/01/21;202301;Sat;MORNING;MEDUIM;Hell's Kitchen;Drinking Chocolate;Dark chocolate Rg;Hot chocolate
5;42;12;2023/01/21;202301;Sat;MORNING;MEDUIM;Hell's Kitchen;Bakery;Ginger Biscotti;Biscotti
3;28;8;2023/01/21;202301;Sat;MORNING;MEDUIM;Hell's Kitchen;Coffee;Brazilian Lg;Organic brewed coffee
2;12;4;2023/01/21;202301;Sat;MORNING;MEDUIM;Hell's Kitchen;Bakery;Oatmeal Scone;Scone
4;30;12;2023/01/21;202301;Sat;MORNING;MEDUIM;Hell's Kitchen;Coffee;Our Old Time Diner Blend Rg;Drip coffee
5;40,8;16;2023/01/21;202301;Sat;MORNING;MEDUIM;Hell's Kitchen;Tea;Spicy Eye Opener Chai Rg;Brewed Chai tea
4;25;10;2023/01/21;202301;Sat;MORNING;MEDUIM;Astoria;Tea;Morning Sunrise Chai Rg;Brewed Chai tea
4;35;14;2023/01/21;202301;Sat;MORNING;MEDUIM;Hell's Kitchen;Coffee;Columbian Medium Roast Rg;Gourmet brewed coffee
1;10;4;2023/01/21;202301;Sat;MORNING;LOW;Astoria;Tea;Peppermint Rg;Brewed herbal tea
1;6,5;2;2023/01/21;202301;Sat;MORNING;LOW;Astoria;Bakery;Cranberry Scone;Scone
2;14;4;2023/01/21;202301;Sat;MORNING;MEDUIM;Lower Manhattan;Bakery;Ginger Biscotti;Biscotti
2;15;6;2023/01/21;202301;Sat;MORNING;MEDUIM;Astoria;Tea;Earl Grey Rg;Brewed Black tea
2;16;8;2023/01/21;202301;Sat;MORNING;MEDUIM;Astoria;Coffee;Columbian Medium Roast Sm;Gourmet brewed coffee
3;37,5;10;2023/01/21;202301;Sat;MORNING;MEDUIM;Hell's Kitchen;Coffee;Latte;Barista Espresso
2;3,2;4;2023/01/21;202301;Sat;MORNING;LOW;Hell's Kitchen;Flavours;Carmel syrup;Regular syrup
2;15;4;2023/01/21;202301;Sat;MORNING;MEDUIM;Hell's Kitchen;Bakery;Jumbo Savory Scone;Scone
5;40;16;2023/01/21;202301;Sat;MORNING;MEDUIM;Astoria;Tea;Serenity Green Tea Rg;Brewed Green tea
3;30;12;2023/01/21;202301;Sat;MORNING;MEDUIM;Hell's Kitchen;Tea;Serenity Green Tea Rg;Brewed Green tea
5;35,2;16;2023/01/21;202301;Sat;MORNING;MEDUIM;Hell's Kitchen;Coffee;Ethiopia Sm;Gourmet brewed coffee
4;51;12;2023/01/21;202301;Sat;MORNING;HIGH;Astoria;Coffee;Cappuccino Lg;Barista Espresso
3;6,4;8;2023/01/21;202301;Sat;MORNING;LOW;Astoria;Flavours;Sugar Free Vanilla syrup;Sugar free syrup
1;7;2;2023/01/21;202301;Sat;MORNING;LOW;Astoria;Bakery;Ginger Biscotti;Biscotti
2;18;6;2023/01/21;202301;Sat;MORNING;MEDUIM;Astoria;Coffee;Columbian Medium Roast Lg;Gourmet brewed coffee
2;28,5;6;2023/01/21;202301;Sat;MORNING;MEDUIM;Hell's Kitchen;Drinking Chocolate;Sustainably Grown Organic Lg;Hot chocolate
2;15;4;2023/01/21;202301;Sat;MORNING;MEDUIM;Hell's Kitchen;Bakery;Almond Croissant;Pastry
4;35;14;2023/01/21;202301;Sat;MORNING;MEDUIM;Hell's Kitchen;Tea;Traditional Blend Chai Rg;Brewed Chai tea
2;18;6;2023/01/21;202301;Sat;MORNING;MEDUIM;Astoria;Coffee;Brazilian Rg;Organic brewed coffee
1;7;2;2023/01/21;202301;Sat;MORNING;LOW;Astoria;Bakery;Chocolate Chip Biscotti;Biscotti
2;10;4;2023/01/21;202301;Sat;MORNING;LOW;Astoria;Tea;Traditional Blend Chai Rg;Brewed Chai tea
2;112;4;2023/01/21;202301;Sat;MORNING;HIGH;Astoria;Branded;I Need My Bean! T-shirt;Clothing
1;90;2;2023/01/21;202301;Sat;MORNING;HIGH;Hell's Kitchen;Coffee beans;Civet Cat;Premium Beans
1;4,9;2;2023/01/21;202301;Sat;MORNING;LOW;Hell's Kitchen;Coffee;Jamaican Coffee River Sm;Premium brewed coffee
1;10;4;2023/01/21;202301;Sat;MORNING;LOW;Lower Manhattan;Tea;Morning Sunrise Chai Rg;Brewed Chai tea
1;17,9;2;2023/01/21;202301;Sat;MORNING;MEDUIM;Lower Manhattan;Loose Tea;English Breakfast;Black tea
3;36;12;2023/01/21;202301;Sat;MORNING;MEDUIM;Lower Manhattan;Tea;Earl Grey Lg;Brewed Black tea
3;24;6;2023/01/21;202301;Sat;MORNING;MEDUIM;Astoria;Tea;Morning Sunrise Chai Lg;Brewed Chai tea
3;24;8;2023/01/21;202301;Sat;MORNING;MEDUIM;Astoria;Tea;Earl Grey Lg;Brewed Black tea
2;15;4;2023/01/21;202301;Sat;MORNING;MEDUIM;Astoria;Bakery;Chocolate Croissant;Pastry
4;25;10;2023/01/21;202301;Sat;MORNING;MEDUIM;Hell's Kitchen;Tea;Peppermint Rg;Brewed herbal tea
3;30,6;12;2023/01/21;202301;Sat;MORNING;MEDUIM;Astoria;Tea;Spicy Eye Opener Chai Rg;Brewed Chai tea
1;6;2;2023/01/21;202301;Sat;MORNING;LOW;Astoria;Tea;Traditional Blend Chai Lg;Brewed Chai tea
2;30;8;2023/01/21;202301;Sat;MORNING;MEDUIM;Hell's Kitchen;Coffee;Cappuccino;Barista Espresso
4;8;10;2023/01/21;202301;Sat;MORNING;LOW;Hell's Kitchen;Flavours;Chocolate syrup;Regular syrup
2;22;10;2023/01/21;202301;Sat;MORNING;MEDUIM;Lower Manhattan;Coffee;Brazilian Sm;Organic brewed coffee
2;15;4;2023/01/21;202301;Sat;MORNING;MEDUIM;Lower Manhattan;Bakery;Chocolate Croissant;Pastry
1;42;2;2023/01/21;202301;Sat;MORNING;MEDUIM;Astoria;Coffee beans;Ethiopia;Gourmet Beans
2;10;4;2023/01/21;202301;Sat;MORNING;LOW;Hell's Kitchen;Tea;Lemon Grass Rg;Brewed herbal tea
1;56;2;2023/01/21;202301;Sat;MORNING;HIGH;Hell's Kitchen;Branded;I Need My Bean! T-shirt;Clothing
3;15;6;2023/01/21;202301;Sat;MORNING;MEDUIM;Astoria;Coffee;Columbian Medium Roast Rg;Gourmet brewed coffee
5;24;12;2023/01/21;202301;Sat;MORNING;MEDUIM;Hell's Kitchen;Coffee;Our Old Time Diner Blend Sm;Drip coffee
2;4,8;6;2023/01/21;202301;Sat;MORNING;LOW;Hell's Kitchen;Flavours;Hazelnut syrup;Regular syrup
3;22,5;6;2023/01/21;202301;Sat;MORNING;MEDUIM;Hell's Kitchen;Bakery;Chocolate Croissant;Pastry
2;18;6;2023/01/21;202301;Sat;MORNING;MEDUIM;Hell's Kitchen;Tea;Lemon Grass Lg;Brewed herbal tea
2;18;6;2023/01/21;202301;Sat;MORNING;MEDUIM;Hell's Kitchen;Coffee;Our Old Time Diner Blend Lg;Drip coffee
3;72;16;2023/01/21;202301;Sat;MORNING;HIGH;Lower Manhattan;Drinking Chocolate;Dark chocolate Lg;Hot chocolate
5;54;12;2023/01/21;202301;Sat;MORNING;HIGH;Hell's Kitchen;Drinking Chocolate;Dark chocolate Lg;Hot chocolate
1;15;4;2023/01/21;202301;Sat;MORNING;MEDUIM;Astoria;Drinking Chocolate;Sustainably Grown Organic Rg;Hot chocolate
2;10,2;4;2023/01/21;202301;Sat;MORNING;HIGH;Hell's Kitchen;Coffee;Ouro Brasileiro shot;Barista Espresso
1;10;4;2023/01/21;202301;Sat;MORNING;LOW;Astoria;Tea;English Breakfast Rg;Brewed Black tea
3;21;6;2023/01/21;202301;Sat;MORNING;MEDUIM;Lower Manhattan;Bakery;Chocolate Chip Biscotti;Biscotti
2;15;4;2023/01/21;202301;Sat;MORNING;MEDUIM;Astoria;Coffee;Jamaican Coffee River Lg;Premium brewed coffee
4;26;8;2023/01/21;202301;Sat;MORNING;MEDUIM;Astoria;Bakery;Ginger Scone;Scone
2;37,5;10;2023/01/21;202301;Sat;MORNING;MEDUIM;Lower Manhattan;Drinking Chocolate;Sustainably Grown Organic Rg;Hot chocolate
3;30;10;2023/01/21;202301;Sat;MORNING;MEDUIM;Astoria;Tea;Lemon Grass Lg;Brewed herbal tea
1;14;4;2023/01/21;202301;Sat;MORNING;MEDUIM;Astoria;Drinking Chocolate;Dark chocolate Rg;Hot chocolate
1;6;2;2023/01/21;202301;Sat;MORNING;LOW;Hell's Kitchen;Tea;Serenity Green Tea Lg;Brewed Green tea
1;15;6;2023/01/21;202301;Sat;MORNING;MEDUIM;Lower Manhattan;Tea;Lemon Grass Rg;Brewed herbal tea
5;36;12;2023/01/21;202301;Sat;MORNING;MEDUIM;Hell's Kitchen;Coffee;Brazilian Rg;Organic brewed coffee
2;12,4;4;2023/01/21;202301;Sat;MORNING;MEDUIM;Astoria;Coffee;Jamaican Coffee River Rg;Premium brewed coffee
3;21;6;2023/01/21;202301;Sat;MORNING;MEDUIM;Hell's Kitchen;Bakery;Chocolate Chip Biscotti;Biscotti
2;18;4;2023/01/21;202301;Sat;MORNING;MEDUIM;Hell's Kitchen;Bakery;Scottish Cream Scone ;Scone
1;6;2;2023/01/21;202301;Sat;MORNING;LOW;Astoria;Coffee;Espresso shot;Barista Espresso
4;8;10;2023/01/21;202301;Sat;MORNING;LOW;Astoria;Flavours;Chocolate syrup;Regular syrup
1;14;4;2023/01/21;202301;Sat;MORNING;MEDUIM;Astoria;Coffee;Brazilian Lg;Organic brewed coffee
1;7;2;2023/01/21;202301;Sat;MORNING;LOW;Astoria;Bakery;Croissant;Pastry
3;42,5;10;2023/01/21;202301;Sat;MORNING;MEDUIM;Hell's Kitchen;Coffee;Latte Rg;Barista Espresso
3;37,5;10;2023/01/21;202301;Sat;MORNING;MEDUIM;Astoria;Coffee;Cappuccino;Barista Espresso
4;30;10;2023/01/21;202301;Sat;MORNING;MEDUIM;Astoria;Tea;Serenity Green Tea Lg;Brewed Green tea
3;18,6;6;2023/01/21;202301;Sat;MORNING;MEDUIM;Hell's Kitchen;Tea;Spicy Eye Opener Chai Lg;Brewed Chai tea
2;13;4;2023/01/21;202301;Sat;MORNING;MEDUIM;Hell's Kitchen;Bakery;Hazelnut Biscotti;Biscotti
1;7,5;2;2023/01/21;202301;Sat;MORNING;LOW;Astoria;Bakery;Jumbo Savory Scone;Scone
1;22,5;6;2023/01/21;202301;Sat;MORNING;MEDUIM;Lower Manhattan;Coffee;Cappuccino;Barista Espresso
5;48;16;2023/01/21;202301;Sat;MORNING;MEDUIM;Hell's Kitchen;Tea;Earl Grey Lg;Brewed Black tea
2;12;4;2023/01/21;202301;Sat;MORNING;MEDUIM;Hell's Kitchen;Coffee;Ethiopia Rg;Gourmet brewed coffee
2;13,2;6;2023/01/21;202301;Sat;MORNING;MEDUIM;Astoria;Coffee;Ethiopia Sm;Gourmet brewed coffee
3;6,4;8;2023/01/21;202301;Sat;MORNING;LOW;Astoria;Flavours;Hazelnut syrup;Regular syrup
1;5;2;2023/01/21;202301;Sat;MORNING;LOW;Hell's Kitchen;Tea;Morning Sunrise Chai Rg;Brewed Chai tea
5;63;18;2023/01/21;202301;Sat;MORNING;HIGH;Lower Manhattan;Coffee;Brazilian Lg;Organic brewed coffee
2;4,8;6;2023/01/21;202301;Sat;MORNING;LOW;Astoria;Flavours;Carmel syrup;Regular syrup
